,Title,Published_date,Views,Likes,Comments,published_date,Month
212,By The Numbers: Where Should The NBA Put a 4 Point Line?,2019-10-21,2685,70,18,2019-10-21,Oct
213,Why is Balance Important in Data Science?,2019-10-16,686,32,13,2019-10-16,Oct
214,How to Stay Productive & Motivated When Learning Data Science,2019-09-29,11492,579,54,2019-09-29,Sep
215,How Far Should the NBA 3-Point Line Actually Be?,2019-09-21,3489,109,31,2019-09-21,Sep
216,6 Habits of Successful Data Scientists,2019-09-13,2123,92,17,2019-09-13,Sep
217,How To Build A Word Cloud From Scraped Data (Python),2019-09-04,3927,93,9,2019-09-04,Sep
218,Thank You For The Support | What's Next | Ken Jee | Data Science,2019-08-26,517,24,29,2019-08-26,Aug
219,Is Data Science Right For You?,2019-08-18,49120,1143,109,2019-08-18,Aug
220,Data Science Fundamentals: Data Cleaning in Python,2019-08-11,13928,377,53,2019-08-11,Aug
221,How To Get Data Science Experience (Without a Job),2019-08-08,28530,1355,75,2019-08-08,Aug
222,Take Your Data Science Projects From Good to Great,2019-08-05,1566,107,11,2019-08-05,Aug
223,The Projects You Should Do To Get A Data Science Job,2019-07-30,145915,5602,252,2019-07-30,Jul
224,What Does a Data Scientist Actually Do?,2019-07-19,34304,1158,80,2019-07-19,Jul
225,Data Science Fundamentals: Data Manipulation in Python (Pandas),2019-07-13,12397,342,42,2019-07-13,Jul
226,Data Science Fundamentals: Data Exploration in Python (Pandas),2019-07-05,16950,508,61,2019-07-05,Jul
227,Data Science: Pros and Cons,2019-06-30,5008,210,18,2019-06-30,Jun
228,How I Got My First Data Science Internship (And How You Can Land One),2019-06-21,23440,1147,89,2019-06-21,Jun
229,My Top 5 Data Science Internship Tips,2019-06-15,11259,469,19,2019-06-15,Jun
230,Golf STATS: Strokes Gained Explained,2019-06-07,6527,139,28,2019-06-07,Jun
231,Most Data Science Hopefuls Overlook This Important Skill,2019-05-25,601,44,5,2019-05-25,May
232,What I Learned From My Three Degrees,2019-05-17,1220,60,12,2019-05-17,May
233,I Wish I Had Known THIS Before Starting in Data Science,2019-05-14,25423,1060,67,2019-05-14,May
234,NASA Physicist Turned Data Scientist (Tim Bowling) - KNN EP. 02,2019-05-05,1197,40,2,2019-05-05,May
235,Should You Learn R for Data Science?,2019-04-25,19537,535,69,2019-04-25,Apr
236,Scrape Twitter Data in Python with Twitterscraper Module,2019-04-18,45818,843,336,2019-04-18,Apr
237,Work From Home Data Scientist: Day in the Life,2019-04-12,27916,759,103,2019-04-12,Apr
238,Where to Look for Data Science Jobs,2019-03-29,2967,120,9,2019-03-29,Mar
239,Data Science: Startup vs. Large Corporation,2019-03-21,2047,72,4,2019-03-21,Mar
240,"Data Science, Machine Learning, and AI: What's the Difference?",2019-03-16,5883,165,25,2019-03-16,Mar
241,Was Captain Marvel Bad? A Sentiment Analysis of Twitter Data,2019-03-09,4077,177,15,2019-03-09,Mar
242,Why You DON'T Want to be a WFH Data Scientist,2019-03-03,775,32,12,2019-03-03,Mar
243,Welcome To My Channel | Ken Jee | Data Science,2019-03-03,1374,35,8,2019-03-03,Mar
244,Where YOU Should Start With Data Science Projects,2019-02-19,15046,315,17,2019-02-19,Feb
245,Watch This Before Applying to Data Science Jobs,2019-02-04,1462,64,13,2019-02-04,Feb
246,My Top 5 Data Science Resources for 2019,2019-01-05,3643,119,17,2019-01-05,Jan
247,IT'S NOT TOO LATE TO LEARN CODE!,2018-12-18,817,37,6,2018-12-18,Dec
248,The Best Way to Predict NBA Minutes Played,2018-12-11,3955,104,14,2018-12-11,Dec
249,Demystifying Data Science Roles,2018-11-30,1111,52,5,2018-11-30,Nov
250,How to Simulate NBA Games in Python,2018-11-19,16760,379,54,2018-11-19,Nov
251,Should You Get A Masters in Data Science?,2018-11-14,20290,304,141,2018-11-14,Nov
252,How I Became A Data Scientist From a Business Background,2018-11-12,6273,192,23,2018-11-12,Nov
253,Predicting Season Long NBA Wins Using Multiple Linear Regression,2018-07-10,8292,189,17,2018-07-10,Jul
254,Predicting Crypto-Currency Price Using RNN lSTM & GRU,2017-11-18,18449,286,41,2017-11-18,Nov
